DATE,DATE_FOR_TIME,TIME,LIC_TYPE,COUNT,MAX_COUNT,ALLOWED
19-JUN-17,19-JUN-17,11.00.07 PM,1,36,84,10100
19-JUN-17,19-JUN-17,11.00.07 PM,2,2,6,10100
19-JUN-17,19-JUN-17,11.00.07 PM,4,1,2,10100
20-JUN-17,20-JUN-17,10.00.07 PM,1,24,89,10100
20-JUN-17,20-JUN-17,10.00.07 PM,2,4,8,10100
20-JUN-17,20-JUN-17,10.00.07 PM,4,2,4,10100
21-JUN-17,21-JUN-17,10.00.07 PM,1,23,82,10100
21-JUN-17,21-JUN-17,10.00.07 PM,2,5,6,10100
21-JUN-17,21-JUN-17,10.00.07 PM,4,2,2,10100
22-JUN-17,22-JUN-17,11.00.07 PM,1,25,96,10100
22-JUN-17,22-JUN-17,11.00.07 PM,2,6,12,10100
22-JUN-17,22-JUN-17,11.00.07 PM,4,1,3,10100
23-JUN-17,23-JUN-17,10.00.09 PM,1,43,80,10100
23-JUN-17,23-JUN-17,10.00.09 PM,2,6,11,10100
23-JUN-17,23-JUN-17,10.00.09 PM,4,0,3,10100
24-JUN-17,24-JUN-17,10.00.07 PM,1,42,45,10100
24-JUN-17,24-JUN-17,10.00.07 PM,2,7,8,10100
24-JUN-17,24-JUN-17,10.00.07 PM,4,1,1,10100
25-JUN-17,25-JUN-17,11.00.08 PM,1,31,49,10100
25-JUN-17,25-JUN-17,11.00.08 PM,2,4,8,10100
25-JUN-17,25-JUN-17,11.00.08 PM,4,0,1,10100
27-JAN-17,27-JAN-17,10.00.00 PM,1,15,46,24
27-JAN-17,27-JAN-17,10.00.00 PM,2,1,7,0
27-JAN-17,27-JAN-17,10.00.00 PM,4,3,3,0
28-JAN-17,28-JAN-17,11.30.00 PM,1,14,16,13
28-JAN-17,28-JAN-17,11.30.00 PM,2,1,1,1
28-JAN-17,28-JAN-17,11.30.00 PM,4,5,5,3
29-JAN-17,29-JAN-17,10.00.00 PM,1,22,22,13
29-JAN-17,29-JAN-17,10.00.00 PM,2,4,4,1
29-JAN-17,29-JAN-17,10.00.00 PM,4,8,8,5
30-JAN-17,30-JAN-17,11.00.00 PM,1,38,64,28
30-JAN-17,30-JAN-17,11.00.00 PM,2,11,11,6
30-JAN-17,30-JAN-17,11.00.00 PM,4,5,11,10
31-JAN-17,31-JAN-17,11.00.00 PM,1,38,69,28
31-JAN-17,31-JAN-17,11.00.00 PM,2,11,12,6
31-JAN-17,31-JAN-17,11.00.00 PM,4,5,8,10
01-FEB-17,01-FEB-17,11.00.00 PM,1,43,72,56
01-FEB-17,01-FEB-17,11.00.00 PM,2,16,16,7
01-FEB-17,01-FEB-17,11.00.00 PM,4,6,7,3
02-FEB-17,02-FEB-17,11.00.00 PM,1,42,73,73
02-FEB-17,02-FEB-17,11.00.00 PM,2,14,18,11
02-FEB-17,02-FEB-17,11.00.00 PM,4,8,9,8
03-FEB-17,03-FEB-17,11.00.00 PM,1,25,66,73
03-FEB-17,03-FEB-17,11.00.00 PM,2,6,13,11
03-FEB-17,03-FEB-17,11.00.00 PM,4,1,8,8
04-FEB-17,04-FEB-17,11.00.01 PM,1,27,29,27
04-FEB-17,04-FEB-17,11.00.01 PM,2,6,7,7
04-FEB-17,04-FEB-17,11.00.01 PM,4,1,1,1
05-FEB-17,05-FEB-17,10.00.00 PM,1,41,41,31
05-FEB-17,05-FEB-17,10.00.00 PM,2,9,9,6
05-FEB-17,05-FEB-17,10.00.00 PM,4,3,3,1
06-FEB-17,06-FEB-17,10.00.02 PM,1,31,59,49
